section_id,station_code
SEC-001,BAM
SEC-001,BBS
SEC-002,BZA
SEC-002,VSKP
SEC-003,JTJ
SEC-003,RU
SEC-004,BNC
SEC-004,DR
SEC-006,IGP
SEC-006,NK
SEC-007,CSN
SEC-007,JL
SEC-008,BSL
SEC-008,PC
SEC-009,JMD
SEC-010,DHI
SEC-010,NGN
SEC-011,LS
SEC-011,MMR
SEC-012,DVL
SEC-012,KSRA
SEC-013,CSTM
SEC-013,JM
SEC-014,KMN
SEC-014,PVR
SEC-015,JEUR
SEC-016,BGVN
SEC-016,DD
SEC-017,ANG
SEC-017,BAP
SEC-018,BDWD
SEC-018,KPG
SEC-019,MKU
SEC-019,NN
SEC-020,AK
SEC-020,SEG
SEC-021,BD
SEC-021,MZR
SEC-022,NAVI
SEC-022,SUR
SEC-023,MO
SEC-025,LTRR
SEC-026,PBN
SEC-026,PRLI
SEC-027,HNL
SEC-027,PAU
SEC-028,CND
SEC-028,WHM
SEC-029,DMN
SEC-029,PLO
SEC-030,NGP
SEC-030,WR
SEC-031,KOP
SEC-031,RKD
SEC-032,HTK
SEC-032,MRJ
SEC-033,DLGN
SEC-033,KVK
SEC-034,MLB
SEC-034,SGLA
SEC-035,GNH
SEC-035,PNF
SEC-036,ARAG
SEC-036,SGRE
SEC-037,JTRD
SEC-037,PUNE
SEC-038,HD
SEC-039,ET
SEC-039,PPI
SEC-040,MML
SEC-040,NU
SEC-041,GAR
SEC-041,JBP
SEC-042,HBD
SEC-042,LTT
SEC-043,BINA
SEC-043,HBJ
SEC-044,JHS
SEC-044,ORAI
SEC-045,CNB
SEC-045,LKO
SEC-046,KPD
SEC-046,MAS
SEC-047,VZM
SEC-048,BHC
SEC-048,KUR
SEC-049,HWH
SEC-049,KGP
SEC-050,MLDT
SEC-050,RPH
